Qty,Tenor,Product,Mapped_Product,Strategy
100.0,H6,HTT,HTT,HTT_Front
-574.0,K6,HTT,HTT,HTT_Mid
-6.25,F7,HTT,HTT,HTT_Back
-6.25,G7,HTT,HTT,HTT_Back
-6.25,H7,HTT,HTT,HTT_Back
-6.25,J7,HTT,HTT,HTT_Back
-6.25,K7,HTT,HTT,HTT_Back
-6.25,M7,HTT,HTT,HTT_Back
-6.25,N7,HTT,HTT,HTT_Back
-6.25,Q7,HTT,HTT,HTT_Back
-6.25,U7,HTT,HTT,HTT_Back
-6.25,V7,HTT,HTT,HTT_Back
-6.25,X7,HTT,HTT,HTT_Back
-6.25,Z7,HTT,HTT,HTT_Back
16.666666666666668,V6,HTT,HTT,HTT_Back
16.666666666666668,X6,HTT,HTT,HTT_Back
16.666666666666668,Z6,HTT,HTT,HTT_Back
16.666666666666668,F7,HTT,HTT,HTT_Back
16.666666666666668,G7,HTT,HTT,HTT_Back
16.666666666666668,H7,HTT,HTT,HTT_Back
300.0,H6,HOUBR_Cross,HOUBR,HOUBR_Front
-300.0,J6,HOUBR_Cross,HOUBR,HOUBR_Front
-2.0833333333333335,F7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,G7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,H7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,J7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,K7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,M7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,N7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,Q7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,U7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,V7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,X7,HOUBR,HOUBR,HOUBR_Back
-2.0833333333333335,Z7,HOUBR,HOUBR,HOUBR_Back
31.9996,J6,CLBR,CLBR,HOUBR_Back
66.66666666666667,F7,HOUBR,HOUBR,HOUBR_Back
66.66666666666667,G7,HOUBR,HOUBR,HOUBR_Back
66.66666666666667,H7,HOUBR,HOUBR,HOUBR_Back
-466.6666666666667,N6,HTT Rolls,HTT,HTT_Rolls
-466.6666666666667,Q6,HTT Rolls,HTT,HTT_Rolls
-466.6666666666667,U6,HTT Rolls,HTT,HTT_Rolls
466.6666666666667,V6,HTT Rolls,HTT,HTT_Rolls
466.6666666666667,X6,HTT Rolls,HTT,HTT_Rolls
466.6666666666667,Z6,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,F7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,G7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,H7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,J7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,K7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,M7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,N7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,Q7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,U7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,V7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,X7,HTT Rolls,HTT,HTT_Rolls
-8.333333333333334,Z7,HTT Rolls,HTT,HTT_Rolls
8.333333333333334,F8,HTT Rolls,HTT,HTT_Rolls
8.333333333333334,G8,HTT Rolls,HTT,HTT_Rolls
8.333333333333334,H8,HTT Rolls,HTT,HTT_Rolls
8.333333333333334,J8,HTT Rolls,HTT,HTT_Rolls
