Tenor,HTT,HOUBR,CLBR,WDF,LH
H6,100.0,300.0,0.0,0.0,753.0
J6,-1400.0,-300.0,-268.0004,-65.0,1000.0
K6,-1974.0,-1300.0,0.0,40.0,1000.0
M6,-1400.0,1300.0,0.0,40.0,1000.0
N6,1500.0,0.0,300.0,0.0,0.0
Q6,1500.0,0.0,0.0,0.0,0.0
U6,1500.0,0.0,850.0,0.0,0.0
V6,100.0,200.0,-850.0,0.0,-870.0
X6,100.0,200.0,0.0,0.0,-870.0
Z6,100.0,200.0,100.0,0.0,-870.0
F7,-175.0,-25.0,0.0,0.0,190.0
G7,-175.0,-25.0,0.0,0.0,190.0
H7,-175.0,-25.0,0.0,0.0,190.0
J7,-175.0,-25.0,0.0,0.0,190.0
K7,-175.0,-25.0,0.0,0.0,190.0
M7,-175.0,-25.0,0.0,0.0,190.0
N7,-175.0,-25.0,0.0,0.0,190.0
Q7,-175.0,-25.0,0.0,0.0,190.0
U7,-175.0,-25.0,0.0,0.0,190.0
V7,-175.0,-25.0,0.0,0.0,190.0
X7,-175.0,-25.0,0.0,0.0,190.0
Z7,-175.0,-25.0,-100.0,0.0,190.0
F8,100.0,0.0,0.0,0.0,0.0
G8,100.0,0.0,0.0,0.0,0.0
H8,100.0,0.0,0.0,0.0,0.0
J8,100.0,0.0,0.0,0.0,0.0
K8,100.0,0.0,0.0,0.0,0.0
M8,100.0,0.0,0.0,0.0,0.0
N8,100.0,0.0,0.0,0.0,0.0
Q8,100.0,0.0,0.0,0.0,0.0
U8,100.0,0.0,0.0,0.0,0.0
V8,100.0,0.0,0.0,0.0,0.0
X8,100.0,0.0,0.0,0.0,0.0
Z8,100.0,0.0,0.0,0.0,0.0
